song,songwriter,credits,year written,year recorded,album,notes
I'll Be Back,John,Lennon-McCartney,,1964,,
No Reply,John,Lennon-McCartney,,1964,,
I'm A Loser,John,Lennon-McCartney,,1964,,
Baby's In Black,"John, Paul",Lennon-McCartney,,1964,,
I'll Follow The Sun,Paul,Lennon-McCartney,1958,1964,,
Eight Days A Week,"John, Paul",Lennon-McCartney,,1964,,
Every Little Thing,Paul,Lennon-McCartney,,1964,,
I Don't Want To Spoil The Party,John,Lennon-McCartney,,1964,,
What You're Doing,Paul,Lennon-McCartney,,1964,,
I Feel Fine,John,Lennon-McCartney,,1964,,
She's A Woman,Paul,Lennon-McCartney,1964,1964,,
I Call Your Name,John,Lennon-McCartney,,1964,,
Help!,John,Lennon-McCartney,,1965,,
The Night Before,Paul,Lennon-McCartney,,1965,,
You've Got To Hide Your Love Away,John,Lennon-McCartney,,1965,,
I Need You,George,George Harrison,,1965,,
Another Girl,Paul,Lennon-McCartney,,1965,,
You're Going To Lose That Girl,John,Lennon-McCartney,,1965,,
Ticket To Ride,John,Lennon-McCartney,,1965,,
It's Only Love,John,Lennon-McCartney,,1965,,"""In 1972 in an interview with Hit Parader magazine, John said about 'It's Only Love': 'That's the one song I really hate of mine. Terrible lyric.' Later, with David Sheff, he added: 'The lyrics were abysmal. I always hated that song.'"""
You Like Me Too Much,George,George Harrison,,1965,,
Tell Me What You See,Paul,Lennon-McCartney,,1965,,
I've Just Seen A Face,Paul,Lennon-McCartney,,1965,,
Yesterday,Paul,Lennon-McCartney,,1965,,
Yes It Is,John,Lennon-McCartney,,1965,,
I'm Down,Paul,Lennon-McCartney,,1965,,
Drive My Car,Paul,Lennon-McCartney,,1965,,"""Paul wrote the music and was coauthor of the lyrics with John."""
Norwegian Wood (This Bird Has Flown),John,Lennon-McCartney,1965,1965,,
You Won't See Me,Paul,Lennon-McCartney,,1965,,
Nowhere Man,John,Lennon-McCartney,,1965,,
Think For Yourself,George,George Harrison,,1965,,
The Word,John,Lennon-McCartney,,1965,,
Michelle,Paul,Lennon-McCartney,,1965,,"""written when Paul was a student at the Liverpool Institute of Art (1953-60)"""
What Goes On,John,Lennon-McCartney,,1965,,"""'That was an early Lennon, written before the Beatles when we were the Quarrymen or something like that,' he confirmed."""
Girl,John,Lennon-McCartney,,1965,,
I'm Looking Through You,Paul,Lennon-McCartney,,1965,,
In My Life,"John, Paul",Lennon-McCartney,,1965,,lyrics may be more John's
Wait,Paul,Lennon-McCartney,1965,1965,,
If I Needed Someone,George,George Harrison,,1965,,
Run For Your Life,John,Lennon-McCartney,,1965,,
Day Tripper,John,Lennon-McCartney,1965,1965,,
We Can Work It Out,Paul,Lennon-McCartney,1964,1965,,
Taxman,George,George Harrison,,1966,,
Eleanor Rigby,-1,Lennon-McCartney,,1966,,a lot of controversy over who wrote the lyrics
I'm Only Sleeping,John,Lennon-McCartney,,1966,,
Love You To,George,George Harrison,,1966,,
"Here, There and Everywhere",Paul,Lennon-McCartney,1966,1966,,
Yellow Submarine,Paul,Lennon-McCartney,,1966,,"""Apart from John, their musician friend Donovan helped out with the lyrics"""
She Said She Said,John,Lennon-McCartney,,1966,,
Good Day Sunshine,Paul,Lennon-McCartney,,1966,,
And Your Bird Can Sing,John,Lennon-McCartney,,1966,,
For No One,Paul,Lennon-McCartney,,1966,,
Doctor Robert,John,Lennon-McCartney,,1966,,
I Want To Tell You,George,George Harrison,,1966,,
Got To Get You Into My Life,Paul,Lennon-McCartney,,1966,,
Tomorrow Never Knows,John,Lennon-McCartney,,1966,,
Paperback Writer,Paul,Lennon-McCartney,,1966,,
Rain,John,Lennon-McCartney,,1966,,
Strawberry Fields Forever,John,Lennon-McCartney,,1966,,
Penny Lane,Paul,Lennon-McCartney,,1966,,
Sgt. Pepper's Lonely Hearts Club Band,Paul,Lennon-McCartney,,1967,,
With A Little Help From My Friends,"John, Paul",Lennon-McCartney,,1967,,
Lucy In The Sky With Diamonds,John,Lennon-McCartney,,1967,,
Getting Better,Paul,Lennon-McCartney,,1967,,
Fixing A Hole,Paul,Lennon-McCartney,,1967,,
She's Leaving Home,Paul,Lennon-McCartney,,1967,,
Being For The Benefit Of Mr. Kite,John,Lennon-McCartney,,1967,,
Within You WIthout You,George,George Harrison,,1967,,
When I'm Sixty-Four,Paul,Lennon-McCartney,1958,1967,,
Lovely Rita,Paul,Lennon-McCartney,,1967,,
Good Morning Good Morning,John,Lennon-McCartney,,1967,,
Sgt. Pepper's Lonely Hearts Club Band (reprise),Paul,Lennon-McCartney,,1967,,
A Day In The Life,"John, Paul",Lennon-McCartney,,1967,,"""Paul suggested the fiery line 'I'd love to turn you on,' [...] He also contributed the bridge"""
All You Need Is Love,John,Lennon-McCartney,,1967,,
Baby You're A Rich Man,"John, Paul",Lennon-McCartney,,1967,,"""combination of two unfinished songs: one by John for the verses [...] and another by Paul, for the choruses"""
Magical Mystery Tour,Paul,Lennon-McCartney,,1967,,
Your Mother Should Know,Paul,Lennon-McCartney,,1967,,
I Am The Walrus,John,Lennon-McCartney,,1967,,
The Fool On The Hill,Paul,Lennon-McCartney,,1967,,
Flying,instrumental,Harrison-Lennon-McCartney-Starkey,,1967,,
Blue Jay Way,George,George Harrison,1967,1967,,
"Hello, Goodbye",Paul,Lennon-McCartney,,1967,,
Lady Madonna,Paul,Lennon-McCartney,,1968,,"""John was not impressed by the lyrics: 'Good piano lick, but the song never really went anywhere. Maybe I helped him with some of the lyrics, but I'm not proud of them either way.'"""
The Inner Light,other,George Harrison,,1968,,"lyrics ""rendered"" from Tao Te Ching"
Back In The U.S.S.R.,Paul,Lennon-McCartney,,1968,,
Dear Prudence,John,Lennon-McCartney,1968,1968,,
Glass Onion,John,Lennon-McCartney,,1968,,
"Ob-La-Di, Ob-La-Da",Paul,Lennon-McCartney,1968,1968,,
Wild Honey Pie,Paul,Lennon-McCartney,1968,1968,,
The Continuing Story Of Bungalow Bill,John,Lennon-McCartney,1968,1968,,
While My Guitar Gently Weeps,George,George Harrison,,1968,,
Happiness Is A Warm Gun,John,Lennon-McCartney,,1968,,
Martha My Dear,Paul,Lennon-McCartney,1968,1968,,
I'm So Tired,John,Lennon-McCartney,1968,1968,,
Blackbird,Paul,Lennon-McCartney,1968,1968,,
Piggies,George,George Harrison,,1968,,
Rocky Raccoon,Paul,Lennon-McCartney,1968,1968,,
Don't Pass Me By,Ringo,Richard Starkey,,1968,,
Why Don't We Do It In The Road?,Paul,Lennon-McCartney,1968,1968,,
I Will,Paul,Lennon-McCartney,,1968,,"""Donovan [...] contributed to an early version of the lyrics of 'I Will.'"""
Julia,John,Lennon-McCartney,,1968,,
Birthday,"Paul, John",Lennon-McCartney,1968,1968,,
Yer Blues,John,Lennon-McCartney,1968,1968,,
Mother Nature's Son,Paul,Lennon-McCartney,1968,1968,,
Everybody's Got Something To Hide Except Me And My Monkey,John,Lennon-McCartney,,1968,,
Sexy Sadie,John,Lennon-McCartney,,1968,,
Helter Skelter,Paul,Lennon-McCartney,,1968,,
"Long, Long, Long",George,George Harrison,,1968,,
Revolution 1,John,Lennon-McCartney,,1968,,
Honey Pie,Paul,Lennon-McCartney,,1968,,
Savoy Truffle,George,George Harrison,,1968,,
Cry Baby Cry,John,Lennon-McCartney,,1968,,
Revolution 9,instrumental,Lennon-McCartney,1968,1968,,
Good Night,John,Lennon-McCartney,,1968,,
Hey Jude,Paul,Lennon-McCartney,,1968,,
Revolution,John,Lennon-McCartney,,1968,,faster version of Revolution 1
Only A Northern Song,George,George Harrison,,1967,,
All Together Now,Paul,Lennon-McCartney,,1967,,
Hey Bulldog,John,Lennon-McCartney,,1968,,
It's All Too Much,George,George Harrison,,1967,,
The Ballad of John and Yoko,John,Lennon-McCartney,1969,1969,,
Old Brown Shoe,George,George Harrison,1969,1969,,
Come Together,John,Lennon-McCartney,,1969,,"""He [John] said he wrote most of the lyrics in the studio with the help of other group members"""
Something,George,George Harrison,,1969,,
Maxwell's Silver Hammer,Paul,Lennon-McCartney,1968,1969,,
Oh! Darling,Paul,Lennon-McCartney,,1969,,
Octopus's Garden,Ringo,Richard Starkey,1968,1969,,
I Want You (She's So Heavy),John,Lennon-McCartney,,1969,,
Here Comes the Sun,George,George Harrison,1969,1969,,
Because,John,Lennon-McCartney,,1969,,
You Never Give Me Your Money,Paul,Lennon-McCartney,,1969,,
Sun King,John,Lennon-McCartney,,1969,,
Mean Mr. Mustard,John,Lennon-McCartney,,1969,,
Polythene Pam,John,Lennon-McCartney,,1969,,
She Came In Through The Bathroom Window,Paul,Lennon-McCartney,,1969,,
Golden Slumbers,Paul,Lennon-McCartney,,1969,,some lyrics borrowed from original children's lullaby by Thomas Dekker
Carry That Weight,Paul,Lennon-McCartney,,1969,,
The End,Paul,Lennon-McCartney,,1969,,
Her Majesty,Paul,Lennon-McCartney,,1969,,
Don't Let Me Down,John,Lennon-McCartney,,1969,,
Two Of Us,Paul,Lennon-McCartney,,1969,,
Dig A Pony,John,Lennon-McCartney,,1969,,
Across The Universe,John,Lennon-McCartney,,1969,,
I Me Mine,George,George Harrison,1969,1969,,
Dig It,John,Harrison-Lennon-McCartney-Starkey,,1969,,"""All the Beatles conributed to the lyrics and the song was credited to all of them."""
Let It Be,Paul,Lennon-McCartney,,1969,,
Maggie Mae,traditional,Lennon-McCartney-Harrison-Starkey (arr.),1757,1969,,
I've Got A Feeling,"Paul, John",Lennon-McCartney,,1969,,
One After 909,John,Lennon-McCartney,1957,1969,,
The Long And Winding Road,Paul,Lennon-McCartney,,1969,,
For You Blue,George,George Harrison,,1969,,
Get Back,Paul,Lennon-McCartney,1969,1969,,
You Know My Name (Look Up The Number),John,Lennon-McCartney,,1967,,
